rec_id	drug	recommendation	variants	lookup_genes	component_count
7588941	clomipramine	Initiate therapy with recommended starting dose.	"[""CYP2D6 2.25"", ""CYP2C19 Likely Intermediate Metabolizer""]"	CYP2C19|CYP2D6	2
7588942	clomipramine	Avoid clomipramine use. If clomipramine is warranted, consider a 50% reduction of recommended starting dose. Utilize therapeutic drug monitoring to guide dose adjustments.	"[""CYP2D6 1.25"", ""CYP2C19 Likely Poor Metabolizer""]"	CYP2C19|CYP2D6	2
7588943	clomipramine	Avoid clomipramine use. If clomipramine is warranted, consider a 50% reduction of recommended starting dose. Utilize therapeutic drug monitoring to guide dose adjustments.	"[""CYP2D6 1.5"", ""CYP2C19 Likely Poor Metabolizer""]"	CYP2C19|CYP2D6	2
7588944	clomipramine	Avoid clomipramine use. If clomipramine is warranted, consider a 50% reduction of recommended starting dose. Utilize therapeutic drug monitoring to guide dose adjustments.	"[""CYP2D6 1.75"", ""CYP2C19 Likely Poor Metabolizer""]"	CYP2C19|CYP2D6	2
7588945	clomipramine	Avoid clomipramine use. If clomipramine is warranted, consider a 50% reduction of recommended starting dose. Utilize therapeutic drug monitoring to guide dose adjustments.	"[""CYP2D6 2.0"", ""CYP2C19 Likely Poor Metabolizer""]"	CYP2C19|CYP2D6	2
7589121	codeine	Avoid codeine use because of potential for serious toxicity. If opioid use is warranted, consider a non-tramadol opioid.	"[""CYP2D6 ≥5.0""]"	CYP2D6	1
7588946	clomipramine	Avoid clomipramine use. If clomipramine is warranted, consider a 50% reduction of recommended starting dose. Utilize therapeutic drug monitoring to guide dose adjustments.	"[""CYP2D6 2.25"", ""CYP2C19 Likely Poor Metabolizer""]"	CYP2C19|CYP2D6	2
7588947	clomipramine	Initiate therapy with recommended starting dose.	"[""CYP2D6 1.25"", ""CYP2C19 No Result""]"	CYP2C19|CYP2D6	2
7588948	clomipramine	Initiate therapy with recommended starting dose.	"[""CYP2D6 1.5"", ""CYP2C19 No Result""]"	CYP2C19|CYP2D6	2
7588949	clomipramine	Initiate therapy with recommended starting dose.	"[""CYP2D6 1.75"", ""CYP2C19 No Result""]"	CYP2C19|CYP2D6	2
7588950	clomipramine	Initiate therapy with recommended starting dose.	"[""CYP2D6 2.0"", ""CYP2C19 No Result""]"	CYP2C19|CYP2D6	2
7588951	clomipramine	Initiate therapy with recommended starting dose.	"[""CYP2D6 2.25"", ""CYP2C19 No Result""]"	CYP2C19|CYP2D6	2
7588952	clomipramine	Avoid clomipramine use. If a clomipramine is warranted, consider a 50% reduction of recommended starting dose. Utilizing therapeutic drug monitoring to guide dose adjustments is strongly recommended.	"[""CYP2D6 0.0"", ""CYP2C19 Intermediate Metabolizer""]"	CYP2C19|CYP2D6	2
7588953	clomipramine	Avoid clomipramine use. If a clomipramine is warranted, consider a 50% reduction of recommended starting dose. Utilize therapeutic drug monitoring to guide dose adjustments.	"[""CYP2D6 0.0"", ""CYP2C19 Normal Metabolizer""]"	CYP2C19|CYP2D6	2
7588954	clomipramine	Avoid clomipramine use; If clomipramine is warranted, utilize therapeutic drug monitoring to guide dose adjustment. Utilizing therapeutic drug monitoring to guide dose adjustments is strongly recommended.	"[""CYP2D6 0.0"", ""CYP2C19 Poor Metabolizer""]"	CYP2C19|CYP2D6	2
7588955	clomipramine	Avoid clomipramine use; If clomipramine is warranted, utilize therapeutic drug monitoring to guide dose adjustment. Utilizing therapeutic drug monitoring to guide dose adjustments is strongly recommended.	"[""CYP2D6 0.0"", ""CYP2C19 Rapid Metabolizer""]"	CYP2C19|CYP2D6	2
7588956	clomipramine	Avoid clomipramine use; If clomipramine is warranted, utilize therapeutic drug monitoring to guide dose adjustment. Utilizing therapeutic drug monitoring to guide dose adjustments is strongly recommended.	"[""CYP2D6 0.0"", ""CYP2C19 Ultrarapid Metabolizer""]"	CYP2C19|CYP2D6	2
7588957	clomipramine	Avoid tricyclic use due to potential for side effects. Consider alternative drug not metabolized by CYP2D6. If a TCA is warranted, consider a 50% reduction of recommended starting dose. Utilize therapeutic drug monitoring to guide dose adjustments. Titrate dose to observed clinical response with symptom improvement and minimal (if any) side effects.	"[""CYP2D6 0.0"", ""CYP2C19 Indeterminate""]"	CYP2C19|CYP2D6	2
7588958	clomipramine	Avoid clomipramine use. If a clomipramine is warranted, consider a 50% reduction of recommended starting dose. Utilizing therapeutic drug monitoring to guide dose adjustments is strongly recommended.	"[""CYP2D6 0.0"", ""CYP2C19 Likely Intermediate Metabolizer""]"	CYP2C19|CYP2D6	2
7588959	clomipramine	Avoid clomipramine use; If clomipramine is warranted, utilize therapeutic drug monitoring to guide dose adjustment. Utilizing therapeutic drug monitoring to guide dose adjustments is strongly recommended.	"[""CYP2D6 0.0"", ""CYP2C19 Likely Poor Metabolizer""]"	CYP2C19|CYP2D6	2
7588960	clomipramine	Avoid tricyclic use due to potential for side effects. Consider alternative drug not metabolized by CYP2D6. If a TCA is warranted, consider a 50% reduction of recommended starting dose. Utilize therapeutic drug monitoring to guide dose adjustments. Titrate dose to observed clinical response with symptom improvement and minimal (if any) side effects.	"[""CYP2D6 0.0"", ""CYP2C19 No Result""]"	CYP2C19|CYP2D6	2
7588961	clomipramine	Avoid clomipramine use; If clomipramine is warranted, utilize therapeutic drug monitoring to guide dose adjustment. Utilizing therapeutic drug monitoring to guide dose adjustments is strongly recommended.	"[""CYP2D6 2.5"", ""CYP2C19 Intermediate Metabolizer""]"	CYP2C19|CYP2D6	2
7588962	clomipramine	Avoid clomipramine use; If clomipramine is warranted, utilize therapeutic drug monitoring to guide dose adjustment. Utilizing therapeutic drug monitoring to guide dose adjustments is strongly recommended.	"[""CYP2D6 3.0"", ""CYP2C19 Intermediate Metabolizer""]"	CYP2C19|CYP2D6	2
7588963	clomipramine	Avoid clomipramine use; If clomipramine is warranted, utilize therapeutic drug monitoring to guide dose adjustment. Utilizing therapeutic drug monitoring to guide dose adjustments is strongly recommended.	"[""CYP2D6 2.75"", ""CYP2C19 Intermediate Metabolizer""]"	CYP2C19|CYP2D6	2
7588964	clomipramine	Avoid clomipramine use; If clomipramine is warranted, utilize therapeutic drug monitoring to guide dose adjustment. Utilizing therapeutic drug monitoring to guide dose adjustments is strongly recommended.	"[""CYP2D6 4.0"", ""CYP2C19 Intermediate Metabolizer""]"	CYP2C19|CYP2D6	2
7588965	clomipramine	Avoid clomipramine use; If clomipramine is warranted, utilize therapeutic drug monitoring to guide dose adjustment. Utilizing therapeutic drug monitoring to guide dose adjustments is strongly recommended.	"[""CYP2D6 ≥3.0"", ""CYP2C19 Intermediate Metabolizer""]"	CYP2C19|CYP2D6	2
7588966	clomipramine	Avoid clomipramine use; If clomipramine is warranted, utilize therapeutic drug monitoring to guide dose adjustment. Utilizing therapeutic drug monitoring to guide dose adjustments is strongly recommended.	"[""CYP2D6 ≥3.25"", ""CYP2C19 Intermediate Metabolizer""]"	CYP2C19|CYP2D6	2
7588967	clomipramine	Avoid clomipramine use; If clomipramine is warranted, utilize therapeutic drug monitoring to guide dose adjustment. Utilizing therapeutic drug monitoring to guide dose adjustments is strongly recommended.	"[""CYP2D6 ≥3.5"", ""CYP2C19 Intermediate Metabolizer""]"	CYP2C19|CYP2D6	2
7588968	clomipramine	Avoid clomipramine use; If clomipramine is warranted, utilize therapeutic drug monitoring to guide dose adjustment. Utilizing therapeutic drug monitoring to guide dose adjustments is strongly recommended.	"[""CYP2D6 ≥4.0"", ""CYP2C19 Intermediate Metabolizer""]"	CYP2C19|CYP2D6	2
7588969	clomipramine	Avoid clomipramine use; If clomipramine is warranted, utilize therapeutic drug monitoring to guide dose adjustment. Utilizing therapeutic drug monitoring to guide dose adjustments is strongly recommended.	"[""CYP2D6 ≥3.75"", ""CYP2C19 Intermediate Metabolizer""]"	CYP2C19|CYP2D6	2
7588970	clomipramine	Avoid clomipramine use; If clomipramine is warranted, utilize therapeutic drug monitoring to guide dose adjustment. Utilizing therapeutic drug monitoring to guide dose adjustments is strongly recommended.	"[""CYP2D6 ≥5.0"", ""CYP2C19 Intermediate Metabolizer""]"	CYP2C19|CYP2D6	2
7588971	clomipramine	Avoid clomipramine use; If clomipramine is warranted, utilize therapeutic drug monitoring to guide dose adjustment. Utilizing therapeutic drug monitoring to guide dose adjustments is strongly recommended.	"[""CYP2D6 ≥6.0"", ""CYP2C19 Intermediate Metabolizer""]"	CYP2C19|CYP2D6	2
7588972	clomipramine	Avoid clomipramine use; If clomipramine is warranted, consider titrating to a higher target dose (compared to normal metabolizers). Utilize therapeutic drug monitoring to guide dose adjustment.	"[""CYP2D6 2.5"", ""CYP2C19 Normal Metabolizer""]"	CYP2C19|CYP2D6	2
7588973	clomipramine	Avoid clomipramine use; If clomipramine is warranted, consider titrating to a higher target dose (compared to normal metabolizers). Utilize therapeutic drug monitoring to guide dose adjustment.	"[""CYP2D6 3.0"", ""CYP2C19 Normal Metabolizer""]"	CYP2C19|CYP2D6	2
7588974	clomipramine	Avoid clomipramine use; If clomipramine is warranted, consider titrating to a higher target dose (compared to normal metabolizers). Utilize therapeutic drug monitoring to guide dose adjustment.	"[""CYP2D6 2.75"", ""CYP2C19 Normal Metabolizer""]"	CYP2C19|CYP2D6	2
7588975	clomipramine	Avoid clomipramine use; If clomipramine is warranted, consider titrating to a higher target dose (compared to normal metabolizers). Utilize therapeutic drug monitoring to guide dose adjustment.	"[""CYP2D6 4.0"", ""CYP2C19 Normal Metabolizer""]"	CYP2C19|CYP2D6	2
7588976	clomipramine	Avoid clomipramine use; If clomipramine is warranted, consider titrating to a higher target dose (compared to normal metabolizers). Utilize therapeutic drug monitoring to guide dose adjustment.	"[""CYP2D6 ≥3.0"", ""CYP2C19 Normal Metabolizer""]"	CYP2C19|CYP2D6	2
7588977	clomipramine	Avoid clomipramine use; If clomipramine is warranted, consider titrating to a higher target dose (compared to normal metabolizers). Utilize therapeutic drug monitoring to guide dose adjustment.	"[""CYP2D6 ≥3.25"", ""CYP2C19 Normal Metabolizer""]"	CYP2C19|CYP2D6	2
7588978	clomipramine	Avoid clomipramine use; If clomipramine is warranted, consider titrating to a higher target dose (compared to normal metabolizers). Utilize therapeutic drug monitoring to guide dose adjustment.	"[""CYP2D6 ≥3.5"", ""CYP2C19 Normal Metabolizer""]"	CYP2C19|CYP2D6	2
7588979	clomipramine	Avoid clomipramine use; If clomipramine is warranted, consider titrating to a higher target dose (compared to normal metabolizers). Utilize therapeutic drug monitoring to guide dose adjustment.	"[""CYP2D6 ≥4.0"", ""CYP2C19 Normal Metabolizer""]"	CYP2C19|CYP2D6	2
7588980	clomipramine	Avoid clomipramine use; If clomipramine is warranted, consider titrating to a higher target dose (compared to normal metabolizers). Utilize therapeutic drug monitoring to guide dose adjustment.	"[""CYP2D6 ≥3.75"", ""CYP2C19 Normal Metabolizer""]"	CYP2C19|CYP2D6	2
7588981	clomipramine	Avoid clomipramine use; If clomipramine is warranted, consider titrating to a higher target dose (compared to normal metabolizers). Utilize therapeutic drug monitoring to guide dose adjustment.	"[""CYP2D6 ≥5.0"", ""CYP2C19 Normal Metabolizer""]"	CYP2C19|CYP2D6	2
7588982	clomipramine	Avoid clomipramine use; If clomipramine is warranted, consider titrating to a higher target dose (compared to normal metabolizers). Utilize therapeutic drug monitoring to guide dose adjustment.	"[""CYP2D6 ≥6.0"", ""CYP2C19 Normal Metabolizer""]"	CYP2C19|CYP2D6	2
7588983	clomipramine	Avoid clomipramine use; If clomipramine is warranted, utilize therapeutic drug monitoring to guide dose adjustment. Utilizing therapeutic drug monitoring to guide dose adjustments is strongly recommended.	"[""CYP2D6 2.5"", ""CYP2C19 Poor Metabolizer""]"	CYP2C19|CYP2D6	2
7588984	clomipramine	Avoid clomipramine use; If clomipramine is warranted, utilize therapeutic drug monitoring to guide dose adjustment. Utilizing therapeutic drug monitoring to guide dose adjustments is strongly recommended.	"[""CYP2D6 3.0"", ""CYP2C19 Poor Metabolizer""]"	CYP2C19|CYP2D6	2
7588985	clomipramine	Avoid clomipramine use; If clomipramine is warranted, utilize therapeutic drug monitoring to guide dose adjustment. Utilizing therapeutic drug monitoring to guide dose adjustments is strongly recommended.	"[""CYP2D6 2.75"", ""CYP2C19 Poor Metabolizer""]"	CYP2C19|CYP2D6	2
7589016	clomipramine	Avoid tricyclic use due to potential lack of efficacy. Consider alternative drug not metabolized by CYP2D6. If a TCA is warranted, consider titrating to a higher target dose (compared to normal metabolizers). Utilize therapeutic drug monitoring to guide dose adjustments. Titrate dose to observed clinical response with symptom improvement and minimal (if any) side effects.	"[""CYP2D6 2.5"", ""CYP2C19 Indeterminate""]"	CYP2C19|CYP2D6	2
7589122	codeine	Avoid codeine use because of potential for serious toxicity. If opioid use is warranted, consider a non-tramadol opioid.	"[""CYP2D6 ≥6.0""]"	CYP2D6	1
7588986	clomipramine	Avoid clomipramine use; If clomipramine is warranted, utilize therapeutic drug monitoring to guide dose adjustment. Utilizing therapeutic drug monitoring to guide dose adjustments is strongly recommended.	"[""CYP2D6 4.0"", ""CYP2C19 Poor Metabolizer""]"	CYP2C19|CYP2D6	2
7588987	clomipramine	Avoid clomipramine use; If clomipramine is warranted, utilize therapeutic drug monitoring to guide dose adjustment. Utilizing therapeutic drug monitoring to guide dose adjustments is strongly recommended.	"[""CYP2D6 ≥3.0"", ""CYP2C19 Poor Metabolizer""]"	CYP2C19|CYP2D6	2
7588988	clomipramine	Avoid clomipramine use; If clomipramine is warranted, utilize therapeutic drug monitoring to guide dose adjustment. Utilizing therapeutic drug monitoring to guide dose adjustments is strongly recommended.	"[""CYP2D6 ≥3.25"", ""CYP2C19 Poor Metabolizer""]"	CYP2C19|CYP2D6	2
7588989	clomipramine	Avoid clomipramine use; If clomipramine is warranted, utilize therapeutic drug monitoring to guide dose adjustment. Utilizing therapeutic drug monitoring to guide dose adjustments is strongly recommended.	"[""CYP2D6 ≥3.5"", ""CYP2C19 Poor Metabolizer""]"	CYP2C19|CYP2D6	2
7588990	clomipramine	Avoid clomipramine use; If clomipramine is warranted, utilize therapeutic drug monitoring to guide dose adjustment. Utilizing therapeutic drug monitoring to guide dose adjustments is strongly recommended.	"[""CYP2D6 ≥4.0"", ""CYP2C19 Poor Metabolizer""]"	CYP2C19|CYP2D6	2
7588991	clomipramine	Avoid clomipramine use; If clomipramine is warranted, utilize therapeutic drug monitoring to guide dose adjustment. Utilizing therapeutic drug monitoring to guide dose adjustments is strongly recommended.	"[""CYP2D6 ≥3.75"", ""CYP2C19 Poor Metabolizer""]"	CYP2C19|CYP2D6	2
7588992	clomipramine	Avoid clomipramine use; If clomipramine is warranted, utilize therapeutic drug monitoring to guide dose adjustment. Utilizing therapeutic drug monitoring to guide dose adjustments is strongly recommended.	"[""CYP2D6 ≥5.0"", ""CYP2C19 Poor Metabolizer""]"	CYP2C19|CYP2D6	2
7588993	clomipramine	Avoid clomipramine use; If clomipramine is warranted, utilize therapeutic drug monitoring to guide dose adjustment. Utilizing therapeutic drug monitoring to guide dose adjustments is strongly recommended.	"[""CYP2D6 ≥6.0"", ""CYP2C19 Poor Metabolizer""]"	CYP2C19|CYP2D6	2
7588994	clomipramine	Avoid clomipramine use; If clomipramine is warranted, utilize therapeutic drug monitoring to guide dose adjustment. Utilizing therapeutic drug monitoring to guide dose adjustments is strongly recommended.	"[""CYP2D6 2.5"", ""CYP2C19 Rapid Metabolizer""]"	CYP2C19|CYP2D6	2
7588995	clomipramine	Avoid clomipramine use; If clomipramine is warranted, utilize therapeutic drug monitoring to guide dose adjustment. Utilizing therapeutic drug monitoring to guide dose adjustments is strongly recommended.	"[""CYP2D6 3.0"", ""CYP2C19 Rapid Metabolizer""]"	CYP2C19|CYP2D6	2
7588996	clomipramine	Avoid clomipramine use; If clomipramine is warranted, utilize therapeutic drug monitoring to guide dose adjustment. Utilizing therapeutic drug monitoring to guide dose adjustments is strongly recommended.	"[""CYP2D6 2.75"", ""CYP2C19 Rapid Metabolizer""]"	CYP2C19|CYP2D6	2
7588997	clomipramine	Avoid clomipramine use; If clomipramine is warranted, utilize therapeutic drug monitoring to guide dose adjustment. Utilizing therapeutic drug monitoring to guide dose adjustments is strongly recommended.	"[""CYP2D6 4.0"", ""CYP2C19 Rapid Metabolizer""]"	CYP2C19|CYP2D6	2
7588998	clomipramine	Avoid clomipramine use; If clomipramine is warranted, utilize therapeutic drug monitoring to guide dose adjustment. Utilizing therapeutic drug monitoring to guide dose adjustments is strongly recommended.	"[""CYP2D6 ≥3.0"", ""CYP2C19 Rapid Metabolizer""]"	CYP2C19|CYP2D6	2
7588999	clomipramine	Avoid clomipramine use; If clomipramine is warranted, utilize therapeutic drug monitoring to guide dose adjustment. Utilizing therapeutic drug monitoring to guide dose adjustments is strongly recommended.	"[""CYP2D6 ≥3.25"", ""CYP2C19 Rapid Metabolizer""]"	CYP2C19|CYP2D6	2
7589000	clomipramine	Avoid clomipramine use; If clomipramine is warranted, utilize therapeutic drug monitoring to guide dose adjustment. Utilizing therapeutic drug monitoring to guide dose adjustments is strongly recommended.	"[""CYP2D6 ≥3.5"", ""CYP2C19 Rapid Metabolizer""]"	CYP2C19|CYP2D6	2
7589001	clomipramine	Avoid clomipramine use; If clomipramine is warranted, utilize therapeutic drug monitoring to guide dose adjustment. Utilizing therapeutic drug monitoring to guide dose adjustments is strongly recommended.	"[""CYP2D6 ≥4.0"", ""CYP2C19 Rapid Metabolizer""]"	CYP2C19|CYP2D6	2
7589002	clomipramine	Avoid clomipramine use; If clomipramine is warranted, utilize therapeutic drug monitoring to guide dose adjustment. Utilizing therapeutic drug monitoring to guide dose adjustments is strongly recommended.	"[""CYP2D6 ≥3.75"", ""CYP2C19 Rapid Metabolizer""]"	CYP2C19|CYP2D6	2
7589003	clomipramine	Avoid clomipramine use; If clomipramine is warranted, utilize therapeutic drug monitoring to guide dose adjustment. Utilizing therapeutic drug monitoring to guide dose adjustments is strongly recommended.	"[""CYP2D6 ≥5.0"", ""CYP2C19 Rapid Metabolizer""]"	CYP2C19|CYP2D6	2
7589004	clomipramine	Avoid clomipramine use; If clomipramine is warranted, utilize therapeutic drug monitoring to guide dose adjustment. Utilizing therapeutic drug monitoring to guide dose adjustments is strongly recommended.	"[""CYP2D6 ≥6.0"", ""CYP2C19 Rapid Metabolizer""]"	CYP2C19|CYP2D6	2
7589005	clomipramine	Avoid clomipramine use; If clomipramine is warranted, utilize therapeutic drug monitoring to guide dose adjustment. Utilizing therapeutic drug monitoring to guide dose adjustments is strongly recommended.	"[""CYP2D6 2.5"", ""CYP2C19 Ultrarapid Metabolizer""]"	CYP2C19|CYP2D6	2
7589006	clomipramine	Avoid clomipramine use; If clomipramine is warranted, utilize therapeutic drug monitoring to guide dose adjustment. Utilizing therapeutic drug monitoring to guide dose adjustments is strongly recommended.	"[""CYP2D6 3.0"", ""CYP2C19 Ultrarapid Metabolizer""]"	CYP2C19|CYP2D6	2
7589007	clomipramine	Avoid clomipramine use; If clomipramine is warranted, utilize therapeutic drug monitoring to guide dose adjustment. Utilizing therapeutic drug monitoring to guide dose adjustments is strongly recommended.	"[""CYP2D6 2.75"", ""CYP2C19 Ultrarapid Metabolizer""]"	CYP2C19|CYP2D6	2
7589008	clomipramine	Avoid clomipramine use; If clomipramine is warranted, utilize therapeutic drug monitoring to guide dose adjustment. Utilizing therapeutic drug monitoring to guide dose adjustments is strongly recommended.	"[""CYP2D6 4.0"", ""CYP2C19 Ultrarapid Metabolizer""]"	CYP2C19|CYP2D6	2
7589009	clomipramine	Avoid clomipramine use; If clomipramine is warranted, utilize therapeutic drug monitoring to guide dose adjustment. Utilizing therapeutic drug monitoring to guide dose adjustments is strongly recommended.	"[""CYP2D6 ≥3.0"", ""CYP2C19 Ultrarapid Metabolizer""]"	CYP2C19|CYP2D6	2
7589010	clomipramine	Avoid clomipramine use; If clomipramine is warranted, utilize therapeutic drug monitoring to guide dose adjustment. Utilizing therapeutic drug monitoring to guide dose adjustments is strongly recommended.	"[""CYP2D6 ≥3.25"", ""CYP2C19 Ultrarapid Metabolizer""]"	CYP2C19|CYP2D6	2
7589011	clomipramine	Avoid clomipramine use; If clomipramine is warranted, utilize therapeutic drug monitoring to guide dose adjustment. Utilizing therapeutic drug monitoring to guide dose adjustments is strongly recommended.	"[""CYP2D6 ≥3.5"", ""CYP2C19 Ultrarapid Metabolizer""]"	CYP2C19|CYP2D6	2
7589012	clomipramine	Avoid clomipramine use; If clomipramine is warranted, utilize therapeutic drug monitoring to guide dose adjustment. Utilizing therapeutic drug monitoring to guide dose adjustments is strongly recommended.	"[""CYP2D6 ≥4.0"", ""CYP2C19 Ultrarapid Metabolizer""]"	CYP2C19|CYP2D6	2
7589013	clomipramine	Avoid clomipramine use; If clomipramine is warranted, utilize therapeutic drug monitoring to guide dose adjustment. Utilizing therapeutic drug monitoring to guide dose adjustments is strongly recommended.	"[""CYP2D6 ≥3.75"", ""CYP2C19 Ultrarapid Metabolizer""]"	CYP2C19|CYP2D6	2
7589014	clomipramine	Avoid clomipramine use; If clomipramine is warranted, utilize therapeutic drug monitoring to guide dose adjustment. Utilizing therapeutic drug monitoring to guide dose adjustments is strongly recommended.	"[""CYP2D6 ≥5.0"", ""CYP2C19 Ultrarapid Metabolizer""]"	CYP2C19|CYP2D6	2
7589015	clomipramine	Avoid clomipramine use; If clomipramine is warranted, utilize therapeutic drug monitoring to guide dose adjustment. Utilizing therapeutic drug monitoring to guide dose adjustments is strongly recommended.	"[""CYP2D6 ≥6.0"", ""CYP2C19 Ultrarapid Metabolizer""]"	CYP2C19|CYP2D6	2
7589017	clomipramine	Avoid tricyclic use due to potential lack of efficacy. Consider alternative drug not metabolized by CYP2D6. If a TCA is warranted, consider titrating to a higher target dose (compared to normal metabolizers). Utilize therapeutic drug monitoring to guide dose adjustments. Titrate dose to observed clinical response with symptom improvement and minimal (if any) side effects.	"[""CYP2D6 3.0"", ""CYP2C19 Indeterminate""]"	CYP2C19|CYP2D6	2
7589018	clomipramine	Avoid tricyclic use due to potential lack of efficacy. Consider alternative drug not metabolized by CYP2D6. If a TCA is warranted, consider titrating to a higher target dose (compared to normal metabolizers). Utilize therapeutic drug monitoring to guide dose adjustments. Titrate dose to observed clinical response with symptom improvement and minimal (if any) side effects.	"[""CYP2D6 2.75"", ""CYP2C19 Indeterminate""]"	CYP2C19|CYP2D6	2
7589019	clomipramine	Avoid tricyclic use due to potential lack of efficacy. Consider alternative drug not metabolized by CYP2D6. If a TCA is warranted, consider titrating to a higher target dose (compared to normal metabolizers). Utilize therapeutic drug monitoring to guide dose adjustments. Titrate dose to observed clinical response with symptom improvement and minimal (if any) side effects.	"[""CYP2D6 4.0"", ""CYP2C19 Indeterminate""]"	CYP2C19|CYP2D6	2
7589020	clomipramine	Avoid tricyclic use due to potential lack of efficacy. Consider alternative drug not metabolized by CYP2D6. If a TCA is warranted, consider titrating to a higher target dose (compared to normal metabolizers). Utilize therapeutic drug monitoring to guide dose adjustments. Titrate dose to observed clinical response with symptom improvement and minimal (if any) side effects.	"[""CYP2D6 ≥3.0"", ""CYP2C19 Indeterminate""]"	CYP2C19|CYP2D6	2
7589021	clomipramine	Avoid tricyclic use due to potential lack of efficacy. Consider alternative drug not metabolized by CYP2D6. If a TCA is warranted, consider titrating to a higher target dose (compared to normal metabolizers). Utilize therapeutic drug monitoring to guide dose adjustments. Titrate dose to observed clinical response with symptom improvement and minimal (if any) side effects.	"[""CYP2D6 ≥3.25"", ""CYP2C19 Indeterminate""]"	CYP2C19|CYP2D6	2
7589022	clomipramine	Avoid tricyclic use due to potential lack of efficacy. Consider alternative drug not metabolized by CYP2D6. If a TCA is warranted, consider titrating to a higher target dose (compared to normal metabolizers). Utilize therapeutic drug monitoring to guide dose adjustments. Titrate dose to observed clinical response with symptom improvement and minimal (if any) side effects.	"[""CYP2D6 ≥3.5"", ""CYP2C19 Indeterminate""]"	CYP2C19|CYP2D6	2
7589023	clomipramine	Avoid tricyclic use due to potential lack of efficacy. Consider alternative drug not metabolized by CYP2D6. If a TCA is warranted, consider titrating to a higher target dose (compared to normal metabolizers). Utilize therapeutic drug monitoring to guide dose adjustments. Titrate dose to observed clinical response with symptom improvement and minimal (if any) side effects.	"[""CYP2D6 ≥4.0"", ""CYP2C19 Indeterminate""]"	CYP2C19|CYP2D6	2
7589024	clomipramine	Avoid tricyclic use due to potential lack of efficacy. Consider alternative drug not metabolized by CYP2D6. If a TCA is warranted, consider titrating to a higher target dose (compared to normal metabolizers). Utilize therapeutic drug monitoring to guide dose adjustments. Titrate dose to observed clinical response with symptom improvement and minimal (if any) side effects.	"[""CYP2D6 ≥3.75"", ""CYP2C19 Indeterminate""]"	CYP2C19|CYP2D6	2
7589025	clomipramine	Avoid tricyclic use due to potential lack of efficacy. Consider alternative drug not metabolized by CYP2D6. If a TCA is warranted, consider titrating to a higher target dose (compared to normal metabolizers). Utilize therapeutic drug monitoring to guide dose adjustments. Titrate dose to observed clinical response with symptom improvement and minimal (if any) side effects.	"[""CYP2D6 ≥5.0"", ""CYP2C19 Indeterminate""]"	CYP2C19|CYP2D6	2
7589123	dapsone	No reason to avoid based on G6PD status	"[""G6PD Normal""]"	G6PD	1
7589124	dapsone	Avoid use	"[""G6PD Deficient""]"	G6PD	1
7589026	clomipramine	Avoid tricyclic use due to potential lack of efficacy. Consider alternative drug not metabolized by CYP2D6. If a TCA is warranted, consider titrating to a higher target dose (compared to normal metabolizers). Utilize therapeutic drug monitoring to guide dose adjustments. Titrate dose to observed clinical response with symptom improvement and minimal (if any) side effects.	"[""CYP2D6 ≥6.0"", ""CYP2C19 Indeterminate""]"	CYP2C19|CYP2D6	2
7589027	clomipramine	Avoid clomipramine use; If clomipramine is warranted, utilize therapeutic drug monitoring to guide dose adjustment. Utilizing therapeutic drug monitoring to guide dose adjustments is strongly recommended.	"[""CYP2D6 2.5"", ""CYP2C19 Likely Intermediate Metabolizer""]"	CYP2C19|CYP2D6	2
7589028	clomipramine	Avoid clomipramine use; If clomipramine is warranted, utilize therapeutic drug monitoring to guide dose adjustment. Utilizing therapeutic drug monitoring to guide dose adjustments is strongly recommended.	"[""CYP2D6 3.0"", ""CYP2C19 Likely Intermediate Metabolizer""]"	CYP2C19|CYP2D6	2
7589029	clomipramine	Avoid clomipramine use; If clomipramine is warranted, utilize therapeutic drug monitoring to guide dose adjustment. Utilizing therapeutic drug monitoring to guide dose adjustments is strongly recommended.	"[""CYP2D6 2.75"", ""CYP2C19 Likely Intermediate Metabolizer""]"	CYP2C19|CYP2D6	2
7589030	clomipramine	Avoid clomipramine use; If clomipramine is warranted, utilize therapeutic drug monitoring to guide dose adjustment. Utilizing therapeutic drug monitoring to guide dose adjustments is strongly recommended.	"[""CYP2D6 4.0"", ""CYP2C19 Likely Intermediate Metabolizer""]"	CYP2C19|CYP2D6	2
7589031	clomipramine	Avoid clomipramine use; If clomipramine is warranted, utilize therapeutic drug monitoring to guide dose adjustment. Utilizing therapeutic drug monitoring to guide dose adjustments is strongly recommended.	"[""CYP2D6 ≥3.0"", ""CYP2C19 Likely Intermediate Metabolizer""]"	CYP2C19|CYP2D6	2
7589032	clomipramine	Avoid clomipramine use; If clomipramine is warranted, utilize therapeutic drug monitoring to guide dose adjustment. Utilizing therapeutic drug monitoring to guide dose adjustments is strongly recommended.	"[""CYP2D6 ≥3.25"", ""CYP2C19 Likely Intermediate Metabolizer""]"	CYP2C19|CYP2D6	2
7589033	clomipramine	Avoid clomipramine use; If clomipramine is warranted, utilize therapeutic drug monitoring to guide dose adjustment. Utilizing therapeutic drug monitoring to guide dose adjustments is strongly recommended.	"[""CYP2D6 ≥3.5"", ""CYP2C19 Likely Intermediate Metabolizer""]"	CYP2C19|CYP2D6	2
